from_object,from_output_column,input_object,parameter
dbo.SegmentComparison,EndDateTime,dbo.sp_SelectEventsbyProperties,@EndDateTime
dbo.SegmentComparison,EndDateTime,dbo.sp_SelectedEvents,@EndDateTime
dbo.SegmentComparison,EndDateTime,dbo.sp_SequenceSegments,@EndDateTime
dbo.SegmentComparison,EndDateTime,dbo.sp_Sequences,@EndDateTime
dbo.SegmentComparison,EventA,dbo.ModelDrillThrough,@EventA
dbo.SegmentComparison,EventA,dbo.sp_ModelDrillThrough,@EventA
dbo.SegmentComparison,EventB,dbo.ModelDrillThrough,@EventB
dbo.SegmentComparison,EventB,dbo.sp_ModelDrillThrough,@EventB
dbo.SegmentComparison,Metric,dbo.AddEventToCaseProperties,@Metric
dbo.SegmentComparison,Metric,dbo.CreateUpdateMarkovProcess,@metric
dbo.SegmentComparison,Metric,dbo.DefaultModelParameters,@metric
dbo.SegmentComparison,Metric,dbo.EntryAndExitPoints,@metric
dbo.SegmentComparison,Metric,dbo.InsertModel,@metric
dbo.SegmentComparison,Metric,dbo.MarkovProcess,@metric
dbo.SegmentComparison,Metric,dbo.MarkovProcess2,@metric
dbo.SegmentComparison,Metric,dbo.ModelEventKey,@Metric
dbo.SegmentComparison,Metric,dbo.ModelEventsByProperty,@Metric
dbo.SegmentComparison,Metric,dbo.ModelID,@Metric
dbo.SegmentComparison,Metric,dbo.SelectedEvents,@metric
dbo.SegmentComparison,Metric,dbo.SequenceSegments,@Metric
dbo.SegmentComparison,Metric,dbo.Sequences,@Metric
dbo.SegmentComparison,Metric,dbo.sp_SelectedEvents,@metric
dbo.SegmentComparison,Metric,dbo.sp_SequenceSegments,@Metric
dbo.SegmentComparison,Metric,dbo.sp_Sequences,@Metric
dbo.SegmentComparison,MetricID,dbo.InsertModel,@MetricID
dbo.SegmentComparison,ModelID,dbo.CalculateBayesianForModels,@ModelID
dbo.SegmentComparison,ModelID,dbo.CaseCharacteristics,@ModelID
dbo.SegmentComparison,ModelID,dbo.CreateUpdateMarkovProcess,@ModelID
dbo.SegmentComparison,ModelID,dbo.DeleteModel,@ModelID
dbo.SegmentComparison,ModelID,dbo.DrillThroughToModelEvents,@ModelID
dbo.SegmentComparison,ModelID,dbo.GetModelEventString,@ModelID
dbo.SegmentComparison,ModelID,dbo.GetModelPropertyString,@ModelID
dbo.SegmentComparison,ModelID,dbo.InsertModel,@ModelID
dbo.SegmentComparison,ModelID,dbo.MarkovProcess2,@ModelID
dbo.SegmentComparison,ModelID,dbo.Markov_Model_Confidence_Support,@ModelID
dbo.SegmentComparison,ModelID,dbo.ModelDrillThrough,@ModelID
dbo.SegmentComparison,ModelID,dbo.ModelEventAnomalies,@ModelID
dbo.SegmentComparison,ModelID,dbo.ModelEventsByOrdinalMean,@ModelID
dbo.SegmentComparison,ModelID,dbo.ModelMatrix,@ModelID
dbo.SegmentComparison,ModelID,dbo.SeqProb,@ModelID
dbo.SegmentComparison,ModelID,dbo.SequenceProbability,@ModelID
dbo.SegmentComparison,ModelID,dbo.sp_CaseCharacteristics,@ModelID
dbo.SegmentComparison,ModelID,dbo.sp_DrillThroughToModelEvents,@ModelID
dbo.SegmentComparison,ModelID,dbo.sp_ModelDrillThrough,@ModelID
dbo.SegmentComparison,PropertyName,dbo.AddEventToCaseProperties,@PropertyName
dbo.SegmentComparison,PropertyName,dbo.utility_LogProcError,@PropertyName
dbo.SegmentComparison,StartDateTime,dbo.BayesianProbability,@StartDateTime
dbo.SegmentComparison,StartDateTime,dbo.BayesianProbability2,@StartDateTime
dbo.SegmentComparison,StartDateTime,dbo.ConditionalProbabilityTable,@StartDateTime
dbo.SegmentComparison,StartDateTime,dbo.CreateUpdateBayesianProbabilities,@StartDateTime
dbo.SegmentComparison,StartDateTime,dbo.CreateUpdateMarkovProcess,@StartDateTime
dbo.SegmentComparison,StartDateTime,dbo.DefaultModelParameters,@StartDateTime
dbo.SegmentComparison,StartDateTime,dbo.EntryAndExitPoints,@StartDateTime
dbo.SegmentComparison,StartDateTime,dbo.InsertCase,@StartDateTime
dbo.SegmentComparison,StartDateTime,dbo.InsertModel,@StartDateTime
dbo.SegmentComparison,StartDateTime,dbo.MarkovProcess,@StartDateTime
dbo.SegmentComparison,StartDateTime,dbo.MarkovProcess2,@StartDateTime
dbo.SegmentComparison,StartDateTime,dbo.ModelEventKey,@StartDateTime
dbo.SegmentComparison,StartDateTime,dbo.ModelEventsByProperty,@StartDateTime
dbo.SegmentComparison,StartDateTime,dbo.ModelID,@StartDateTime
dbo.SegmentComparison,StartDateTime,dbo.SelectedEvents,@StartDateTime
dbo.SegmentComparison,StartDateTime,dbo.SequenceSegments,@StartDateTime
dbo.SegmentComparison,StartDateTime,dbo.Sequences,@StartDateTime
dbo.SegmentComparison,StartDateTime,dbo.sp_CompareEventProximities,@StartDateTime
dbo.SegmentComparison,StartDateTime,dbo.sp_ConditionalProbabilityTable,@StartDateTime
dbo.SegmentComparison,StartDateTime,dbo.sp_SelectEventsbyProperties,@StartDateTime
dbo.SegmentComparison,StartDateTime,dbo.sp_SelectedEvents,@StartDateTime
dbo.SegmentComparison,StartDateTime,dbo.sp_SequenceSegments,@StartDateTime
dbo.SegmentComparison,StartDateTime,dbo.sp_Sequences,@StartDateTime
dbo.SelectedEvents,CaseID,dbo.DeleteCase,@CaseID
dbo.SelectedEvents,CaseID,dbo.InsertCase,@CaseID
dbo.SelectedEvents,CaseID,dbo.InsertCaseProperties,@CaseID
dbo.SelectedEvents,CaseID,dbo.UpdateCaseFromEvents,@CaseID
dbo.SelectedEvents,EventID,dbo.EventPropertiesSource,@EventID
dbo.SeqProb,ModelID,dbo.CalculateBayesianForModels,@ModelID
dbo.SeqProb,ModelID,dbo.CaseCharacteristics,@ModelID
dbo.SeqProb,ModelID,dbo.CreateUpdateMarkovProcess,@ModelID
dbo.SeqProb,ModelID,dbo.DeleteModel,@ModelID
dbo.SeqProb,ModelID,dbo.DrillThroughToModelEvents,@ModelID
dbo.SeqProb,ModelID,dbo.GetModelEventString,@ModelID
dbo.SeqProb,ModelID,dbo.GetModelPropertyString,@ModelID
dbo.SeqProb,ModelID,dbo.InsertModel,@ModelID
dbo.SeqProb,ModelID,dbo.MarkovProcess2,@ModelID
dbo.SeqProb,ModelID,dbo.Markov_Model_Confidence_Support,@ModelID
dbo.SeqProb,ModelID,dbo.ModelDrillThrough,@ModelID
dbo.SeqProb,ModelID,dbo.ModelEventAnomalies,@ModelID
dbo.SeqProb,ModelID,dbo.ModelEventsByOrdinalMean,@ModelID
dbo.SeqProb,ModelID,dbo.ModelMatrix,@ModelID
dbo.SeqProb,ModelID,dbo.SequenceProbability,@ModelID
dbo.SeqProb,ModelID,dbo.sp_CaseCharacteristics,@ModelID
dbo.SeqProb,ModelID,dbo.sp_DrillThroughToModelEvents,@ModelID
dbo.SeqProb,ModelID,dbo.sp_ModelDrillThrough,@ModelID
dbo.SeqProb,Seq,dbo.SequenceKey,@Seq
dbo.SeqProb,nextEvent,dbo.SequenceKey,@NextEvent
dbo.SequenceSegments,Seq,dbo.SequenceKey,@Seq
dbo.Sequences,ModelID,dbo.CalculateBayesianForModels,@ModelID
dbo.Sequences,ModelID,dbo.CaseCharacteristics,@ModelID
dbo.Sequences,ModelID,dbo.CreateUpdateMarkovProcess,@ModelID
dbo.Sequences,ModelID,dbo.DeleteModel,@ModelID
dbo.Sequences,ModelID,dbo.DrillThroughToModelEvents,@ModelID
dbo.Sequences,ModelID,dbo.GetModelEventString,@ModelID
dbo.Sequences,ModelID,dbo.GetModelPropertyString,@ModelID
dbo.Sequences,ModelID,dbo.InsertModel,@ModelID
dbo.Sequences,ModelID,dbo.MarkovProcess2,@ModelID
dbo.Sequences,ModelID,dbo.Markov_Model_Confidence_Support,@ModelID
dbo.Sequences,ModelID,dbo.ModelDrillThrough,@ModelID
dbo.Sequences,ModelID,dbo.ModelEventAnomalies,@ModelID
dbo.Sequences,ModelID,dbo.ModelEventsByOrdinalMean,@ModelID
dbo.Sequences,ModelID,dbo.ModelMatrix,@ModelID
dbo.Sequences,ModelID,dbo.SeqProb,@ModelID
dbo.Sequences,ModelID,dbo.SequenceProbability,@ModelID
dbo.Sequences,ModelID,dbo.sp_CaseCharacteristics,@ModelID
dbo.Sequences,ModelID,dbo.sp_DrillThroughToModelEvents,@ModelID
dbo.Sequences,ModelID,dbo.sp_ModelDrillThrough,@ModelID
dbo.Sequences,Seq,dbo.SequenceKey,@Seq
dbo.Sequences,nextEvent,dbo.SequenceKey,@NextEvent
dbo.SourceColumnsByCaseType,ColumnName,dbo.InsertSourceColumn,@ColumnName
dbo.SourceColumnsByCaseType,DataType,dbo.InsertSourceColumn,@DataType
dbo.SourceColumnsByCaseType,DatabaseName,dbo.InsertSource,@DatabaseName
dbo.SourceColumnsByCaseType,DatabaseName,dbo.SourceID,@DatabaseName
dbo.SourceColumnsByCaseType,IsKey,dbo.InsertSourceColumn,@IsKey
dbo.SourceColumnsByCaseType,IsOrdinal,dbo.InsertSourceColumn,@IsOrdinal
dbo.SourceColumnsByCaseType,ServerName,dbo.InsertSource,@ServerName
dbo.SourceColumnsByCaseType,ServerName,dbo.SourceID,@ServerName
dbo.SourceColumnsByCaseType,SourceColumnID,dbo.InsertSourceColumn,@SourceColumnID
dbo.SourceColumnsByCaseType,SourceID,dbo.InsertCase,@SourceID
dbo.SourceColumnsByCaseType,SourceID,dbo.InsertSource,@SourceID
dbo.SourceColumnsByCaseType,SourceID,dbo.InsertSourceColumn,@SourceID
dbo.SourceColumnsByCaseType,TableName,dbo.InsertSourceColumn,@TableName
dbo.SourceColumnsByEventType,ColumnName,dbo.InsertSourceColumn,@ColumnName
dbo.SourceColumnsByEventType,DataType,dbo.InsertSourceColumn,@DataType
dbo.SourceColumnsByEventType,DatabaseName,dbo.InsertSource,@DatabaseName
dbo.SourceColumnsByEventType,DatabaseName,dbo.SourceID,@DatabaseName
dbo.SourceColumnsByEventType,Events,dbo.AddEventToCaseProperties,@Event
dbo.SourceColumnsByEventType,Events,dbo.InsertEvent,@Event
dbo.SourceColumnsByEventType,IsKey,dbo.InsertSourceColumn,@IsKey
dbo.SourceColumnsByEventType,IsOrdinal,dbo.InsertSourceColumn,@IsOrdinal
dbo.SourceColumnsByEventType,ServerName,dbo.InsertSource,@ServerName
dbo.SourceColumnsByEventType,ServerName,dbo.SourceID,@ServerName
dbo.SourceColumnsByEventType,SourceColumnID,dbo.InsertSourceColumn,@SourceColumnID
dbo.SourceColumnsByEventType,SourceID,dbo.InsertCase,@SourceID
dbo.SourceColumnsByEventType,SourceID,dbo.InsertSource,@SourceID
dbo.SourceColumnsByEventType,SourceID,dbo.InsertSourceColumn,@SourceID
dbo.SourceColumnsByEventType,TableName,dbo.InsertSourceColumn,@TableName
dbo.SourceID,SourceID,dbo.InsertCase,@SourceID
dbo.SourceID,SourceID,dbo.InsertSource,@SourceID
dbo.SourceID,SourceID,dbo.InsertSourceColumn,@SourceID
dbo.UpdateTransform,transforms,dbo.AdjacencyMatrix,@transforms
dbo.UpdateTransform,transforms,dbo.BayesianProbability,@transforms
dbo.UpdateTransform,transforms,dbo.BayesianProbability2,@transforms
dbo.UpdateTransform,transforms,dbo.ConditionalProbabilityTable,@transforms
dbo.UpdateTransform,transforms,dbo.CreateUpdateBayesianProbabilities,@transforms
dbo.UpdateTransform,transforms,dbo.CreateUpdateMarkovProcess,@transforms
dbo.UpdateTransform,transforms,dbo.EntryAndExitPoints,@transforms
dbo.UpdateTransform,transforms,dbo.InsertModel,@transforms
dbo.UpdateTransform,transforms,dbo.InsertTransforms,@Transforms
dbo.UpdateTransform,transforms,dbo.MarkovProcess,@transforms
dbo.UpdateTransform,transforms,dbo.MarkovProcess2,@transforms
dbo.UpdateTransform,transforms,dbo.ModelEventKey,@transforms
dbo.UpdateTransform,transforms,dbo.ModelEventsByProperty,@transforms
dbo.UpdateTransform,transforms,dbo.ModelID,@transforms
dbo.UpdateTransform,transforms,dbo.ParseTransforms,@transforms
dbo.UpdateTransform,transforms,dbo.SelectedEvents,@transforms
dbo.UpdateTransform,transforms,dbo.SequenceSegments,@transforms
dbo.UpdateTransform,transforms,dbo.Sequences,@transforms
dbo.UpdateTransform,transforms,dbo.TransformsKey,@Transforms
dbo.UpdateTransform,transforms,dbo.sp_AdjacencyMatrix,@transforms
dbo.UpdateTransform,transforms,dbo.sp_ConditionalProbabilityTable,@transforms
dbo.UpdateTransform,transforms,dbo.sp_SelectedEvents,@transforms
dbo.UpdateTransform,transforms,dbo.sp_SequenceSegments,@transforms
dbo.UpdateTransform,transforms,dbo.sp_Sequences,@transforms
dbo.UserID,UserID,dbo.RefreshUserAccessBitmaps,@UserID
dbo.UserID,UserID,dbo.SetUserAccessBitmap,@UserID
dbo.get_semantic_web_llm_values,IRI,dbo.InsertEvent,@IRI
dbo.get_semantic_web_llm_values,IRI,dbo.InsertSource,@IRI
dbo.get_semantic_web_llm_values,IRI,dbo.InsertSourceColumn,@IRI
dbo.sp_AdjacencyMatrix,EventA,dbo.ModelDrillThrough,@EventA
dbo.sp_AdjacencyMatrix,EventA,dbo.SegmentComparison,@EventA
dbo.sp_AdjacencyMatrix,EventA,dbo.sp_ModelDrillThrough,@EventA
dbo.sp_AdjacencyMatrix,EventB,dbo.ModelDrillThrough,@EventB
dbo.sp_AdjacencyMatrix,EventB,dbo.SegmentComparison,@EventB
dbo.sp_AdjacencyMatrix,EventB,dbo.sp_ModelDrillThrough,@EventB
dbo.sp_CaseCharacteristics,CaseID,dbo.DeleteCase,@CaseID
dbo.sp_CaseCharacteristics,CaseID,dbo.InsertCase,@CaseID
dbo.sp_CaseCharacteristics,CaseID,dbo.InsertCaseProperties,@CaseID
dbo.sp_CaseCharacteristics,CaseID,dbo.UpdateCaseFromEvents,@CaseID
dbo.sp_CaseCharacteristics,EventA,dbo.ModelDrillThrough,@EventA
dbo.sp_CaseCharacteristics,EventA,dbo.SegmentComparison,@EventA
dbo.sp_CaseCharacteristics,EventA,dbo.sp_ModelDrillThrough,@EventA
dbo.sp_CaseCharacteristics,EventB,dbo.ModelDrillThrough,@EventB
dbo.sp_CaseCharacteristics,EventB,dbo.SegmentComparison,@EventB
dbo.sp_CaseCharacteristics,EventB,dbo.sp_ModelDrillThrough,@EventB
dbo.sp_CaseCharacteristics,Metric,dbo.AddEventToCaseProperties,@Metric
dbo.sp_CaseCharacteristics,Metric,dbo.CreateUpdateMarkovProcess,@metric
dbo.sp_CaseCharacteristics,Metric,dbo.DefaultModelParameters,@metric
dbo.sp_CaseCharacteristics,Metric,dbo.EntryAndExitPoints,@metric
dbo.sp_CaseCharacteristics,Metric,dbo.InsertModel,@metric
dbo.sp_CaseCharacteristics,Metric,dbo.MarkovProcess,@metric
dbo.sp_CaseCharacteristics,Metric,dbo.MarkovProcess2,@metric
dbo.sp_CaseCharacteristics,Metric,dbo.ModelEventKey,@Metric
dbo.sp_CaseCharacteristics,Metric,dbo.ModelEventsByProperty,@Metric
dbo.sp_CaseCharacteristics,Metric,dbo.ModelID,@Metric
dbo.sp_CaseCharacteristics,Metric,dbo.SelectedEvents,@metric
dbo.sp_CaseCharacteristics,Metric,dbo.SequenceSegments,@Metric
dbo.sp_CaseCharacteristics,Metric,dbo.Sequences,@Metric
dbo.sp_CaseCharacteristics,Metric,dbo.sp_SelectedEvents,@metric
dbo.sp_CaseCharacteristics,Metric,dbo.sp_SequenceSegments,@Metric
dbo.sp_CaseCharacteristics,Metric,dbo.sp_Sequences,@Metric
dbo.sp_CaseCharacteristics,ModelID,dbo.CalculateBayesianForModels,@ModelID
dbo.sp_CaseCharacteristics,ModelID,dbo.CaseCharacteristics,@ModelID
dbo.sp_CaseCharacteristics,ModelID,dbo.CreateUpdateMarkovProcess,@ModelID
dbo.sp_CaseCharacteristics,ModelID,dbo.DeleteModel,@ModelID
dbo.sp_CaseCharacteristics,ModelID,dbo.DrillThroughToModelEvents,@ModelID
dbo.sp_CaseCharacteristics,ModelID,dbo.GetModelEventString,@ModelID
dbo.sp_CaseCharacteristics,ModelID,dbo.GetModelPropertyString,@ModelID
dbo.sp_CaseCharacteristics,ModelID,dbo.InsertModel,@ModelID
dbo.sp_CaseCharacteristics,ModelID,dbo.MarkovProcess2,@ModelID
dbo.sp_CaseCharacteristics,ModelID,dbo.Markov_Model_Confidence_Support,@ModelID
dbo.sp_CaseCharacteristics,ModelID,dbo.ModelDrillThrough,@ModelID
dbo.sp_CaseCharacteristics,ModelID,dbo.ModelEventAnomalies,@ModelID
dbo.sp_CaseCharacteristics,ModelID,dbo.ModelEventsByOrdinalMean,@ModelID
dbo.sp_CaseCharacteristics,ModelID,dbo.ModelMatrix,@ModelID
dbo.sp_CaseCharacteristics,ModelID,dbo.SeqProb,@ModelID
dbo.sp_CaseCharacteristics,ModelID,dbo.SequenceProbability,@ModelID
dbo.sp_CaseCharacteristics,ModelID,dbo.sp_DrillThroughToModelEvents,@ModelID
dbo.sp_CaseCharacteristics,ModelID,dbo.sp_ModelDrillThrough,@ModelID
dbo.sp_CasePropertyProfiling,DefaultTableName,dbo.InsertSource,@DefaultTableName
dbo.sp_CasePropertyProfiling,PropertyName,dbo.AddEventToCaseProperties,@PropertyName
dbo.sp_CasePropertyProfiling,PropertyName,dbo.utility_LogProcError,@PropertyName
dbo.sp_CasePropertyProfiling,SourceColumnID,dbo.InsertSourceColumn,@SourceColumnID
dbo.sp_CasePropertyProfiling,SourceID,dbo.InsertCase,@SourceID
dbo.sp_CasePropertyProfiling,SourceID,dbo.InsertSource,@SourceID
dbo.sp_CasePropertyProfiling,SourceID,dbo.InsertSourceColumn,@SourceID
dbo.sp_CasePropertyProfiling,TableName,dbo.InsertSourceColumn,@TableName
dbo.sp_CompareEventProximities,CaseID,dbo.DeleteCase,@CaseID
dbo.sp_CompareEventProximities,CaseID,dbo.InsertCase,@CaseID
dbo.sp_CompareEventProximities,CaseID,dbo.InsertCaseProperties,@CaseID
dbo.sp_CompareEventProximities,CaseID,dbo.UpdateCaseFromEvents,@CaseID
dbo.sp_CompareEventProximities,EventID,dbo.EventPropertiesSource,@EventID
dbo.sp_CompareEventProximities,PropertyName,dbo.AddEventToCaseProperties,@PropertyName
dbo.sp_CompareEventProximities,PropertyName,dbo.utility_LogProcError,@PropertyName
dbo.sp_CompareEventProximities,SessionID,dbo.BayesianProbability2,@SessionID
dbo.sp_CompareEventProximities,SessionID,dbo.sp_AdjacencyMatrix,@SessionID
dbo.sp_ConditionalProbabilityTable,CaseID,dbo.DeleteCase,@CaseID
dbo.sp_ConditionalProbabilityTable,CaseID,dbo.InsertCase,@CaseID
dbo.sp_ConditionalProbabilityTable,CaseID,dbo.InsertCaseProperties,@CaseID
dbo.sp_ConditionalProbabilityTable,CaseID,dbo.UpdateCaseFromEvents,@CaseID
dbo.sp_ConditionalProbabilityTable,GroupType,dbo.BayesianProbability,@GroupType
dbo.sp_ConditionalProbabilityTable,GroupType,dbo.BayesianProbability2,@GroupType
dbo.sp_ConditionalProbabilityTable,GroupType,dbo.ConditionalProbabilityTable,@GroupType
dbo.sp_ConditionalProbabilityTable,GroupType,dbo.CreateUpdateBayesianProbabilities,@GroupType
dbo.sp_DrillThroughToModelEvents,CaseID,dbo.DeleteCase,@CaseID
dbo.sp_DrillThroughToModelEvents,CaseID,dbo.InsertCase,@CaseID
dbo.sp_DrillThroughToModelEvents,CaseID,dbo.InsertCaseProperties,@CaseID
dbo.sp_DrillThroughToModelEvents,CaseID,dbo.UpdateCaseFromEvents,@CaseID
dbo.sp_ModelDrillThrough,CaseID,dbo.DeleteCase,@CaseID
dbo.sp_ModelDrillThrough,CaseID,dbo.InsertCase,@CaseID
dbo.sp_ModelDrillThrough,CaseID,dbo.InsertCaseProperties,@CaseID
dbo.sp_ModelDrillThrough,CaseID,dbo.UpdateCaseFromEvents,@CaseID
dbo.sp_ModelDrillThrough,EventA,dbo.ModelDrillThrough,@EventA
dbo.sp_ModelDrillThrough,EventA,dbo.SegmentComparison,@EventA
dbo.sp_ModelDrillThrough,EventB,dbo.ModelDrillThrough,@EventB
dbo.sp_ModelDrillThrough,EventB,dbo.SegmentComparison,@EventB
dbo.sp_ModelDrillThrough,EventID,dbo.EventPropertiesSource,@EventID
dbo.sp_SelectEventsbyProperties,CaseID,dbo.DeleteCase,@CaseID
dbo.sp_SelectEventsbyProperties,CaseID,dbo.InsertCase,@CaseID
dbo.sp_SelectEventsbyProperties,CaseID,dbo.InsertCaseProperties,@CaseID
dbo.sp_SelectEventsbyProperties,CaseID,dbo.UpdateCaseFromEvents,@CaseID
dbo.sp_SelectEventsbyProperties,EventID,dbo.EventPropertiesSource,@EventID
dbo.sp_SelectedEvents,CaseID,dbo.DeleteCase,@CaseID
dbo.sp_SelectedEvents,CaseID,dbo.InsertCase,@CaseID
dbo.sp_SelectedEvents,CaseID,dbo.InsertCaseProperties,@CaseID
dbo.sp_SelectedEvents,CaseID,dbo.UpdateCaseFromEvents,@CaseID
dbo.sp_SelectedEvents,EventID,dbo.EventPropertiesSource,@EventID
dbo.sp_SelectedEvents,Sequence,dbo.SequenceProbability,@Sequence
dbo.sp_SequenceSegments,Seq,dbo.SequenceKey,@Seq
dbo.sp_Sequences,ModelID,dbo.CalculateBayesianForModels,@ModelID
dbo.sp_Sequences,ModelID,dbo.CaseCharacteristics,@ModelID
dbo.sp_Sequences,ModelID,dbo.CreateUpdateMarkovProcess,@ModelID
dbo.sp_Sequences,ModelID,dbo.DeleteModel,@ModelID
dbo.sp_Sequences,ModelID,dbo.DrillThroughToModelEvents,@ModelID
dbo.sp_Sequences,ModelID,dbo.GetModelEventString,@ModelID
dbo.sp_Sequences,ModelID,dbo.GetModelPropertyString,@ModelID
dbo.sp_Sequences,ModelID,dbo.InsertModel,@ModelID
dbo.sp_Sequences,ModelID,dbo.MarkovProcess2,@ModelID
dbo.sp_Sequences,ModelID,dbo.Markov_Model_Confidence_Support,@ModelID
dbo.sp_Sequences,ModelID,dbo.ModelDrillThrough,@ModelID
dbo.sp_Sequences,ModelID,dbo.ModelEventAnomalies,@ModelID
dbo.sp_Sequences,ModelID,dbo.ModelEventsByOrdinalMean,@ModelID
dbo.sp_Sequences,ModelID,dbo.ModelMatrix,@ModelID
dbo.sp_Sequences,ModelID,dbo.SeqProb,@ModelID
dbo.sp_Sequences,ModelID,dbo.SequenceProbability,@ModelID
dbo.sp_Sequences,ModelID,dbo.sp_CaseCharacteristics,@ModelID
dbo.sp_Sequences,ModelID,dbo.sp_DrillThroughToModelEvents,@ModelID
dbo.sp_Sequences,ModelID,dbo.sp_ModelDrillThrough,@ModelID
dbo.sp_Sequences,Seq,dbo.SequenceKey,@Seq
dbo.sp_Sequences,nextEvent,dbo.SequenceKey,@NextEvent
dbo.utility_Bad_Data,CaseID,dbo.DeleteCase,@CaseID
dbo.utility_Bad_Data,CaseID,dbo.InsertCase,@CaseID
dbo.utility_Bad_Data,CaseID,dbo.InsertCaseProperties,@CaseID
dbo.utility_Bad_Data,CaseID,dbo.UpdateCaseFromEvents,@CaseID
dbo.utility_Bad_Data,EventSetCode,dbo.EventSetByCode,@EventSetCode
dbo.utility_Bad_Data,SourceColumnID,dbo.InsertSourceColumn,@SourceColumnID
dbo.utility_Bad_Data,SourceID,dbo.InsertCase,@SourceID
dbo.utility_Bad_Data,SourceID,dbo.InsertSource,@SourceID
dbo.utility_Bad_Data,SourceID,dbo.InsertSourceColumn,@SourceID
