object_type,object_name,object_description,utilization,sample_code
SQL_SCALAR_FUNCTION,[ETL].[StockMove],"Scalar function, [ETL].[StockMove]: Evaluates two successive stock values and classifies the movement as a big jump, big drop, or no move based on a configurable threshold.","Use when classifying or summarizing stock-price movement in a consistent way for analytics, transforms, or downstream event generation.","

    SELECT ETL.StockMove(105.0, 100.0, 0.05);  
	   SELECT ETL.StockMove(105.0, 200.0, 0.05); 

"
SQL_STORED_PROCEDURE,[dbo].[AddEventToCaseProperties],"Stored procedure, , [dbo].[AddEventToCaseProperties]: For every case containing the specified event, upsert a case‐level property (named by @PropertyName or the event) with either the existing metric value or a default, marking it as added post‐ETL and timestamping the update; errors are logged to ProcErrorLog.","Use when an event should also update or enrich case-level properties, especially when important event information needs to become part of the case’s lasting metadata.","

	--For all poker games with this event, add it as a case-level property.
	--This lets us slice and dice by this property.
    EXEC dbo.AddEventToCaseProperties
        @Event = 'game-state-0',
        @PropertyName = NULL,
        @Metric = 'Amount';

    -- Look for all ""bigtip"" events, use their ""tip"" property (if present) 
    -- or default 1, and add it as a case-level property named ""tip"":
    EXEC dbo.AddEventToCaseProperties 
        @Event = 'bigtip',
        @PropertyName = NULL,   -- defaults to 'bigtip' (@Event).
        @Metric = 'tip';

"
SQL_SCALAR_FUNCTION,[dbo].[AddSegmentProbabilities],"Scalar function, [dbo].[AddSegmentProbabilities]: Aggregates probabilities across multiple model-event segments by reverse-engineering total event counts to yield an overall segment probability.","Use when you want to combine several existing model segments into one rolled-up probability without rebuilding the whole model. Helpful for testing composite paths, summarizing related transitions, or estimating the probability of a larger process fragment from known segment probabilities.","

    SELECT dbo.AddSegmentProbabilities(
        '[{""ModelID"":1,""EventA"":""arrive"",""EventB"":""greeted""},'
        + '{""ModelID"":1,""EventA"":""charged"",""EventB"":""depart""},'
        + '{""ModelID"":4,""EventA"":""charged"",""EventB"":""bigtip""}]'
    );

Notes:
    • If any segment’s Prob is zero, the denominator SUM([Rows]/Prob) will error or return NULL—consider validating or filtering zero‐prob entries.

"
SQL_INLINE_TABLE_VALUED_FUNCTION,[dbo].[AdjacencyMatrix],"Table-valued function, [dbo].[AdjacencyMatrix]: Generates an adjacency matrix from a given event set by computing, for each EventA→EventB pair, the conditional probability P(B|A), total occurrences of A, and raw counts.","Use when you want a compact transition matrix showing how often each event in a selected event set leads to each other event, along with P(B|A), total outgoing volume from EventA, and raw transition counts. Helpful for quick process-shape inspection, adjacency-style graph building, and comparing the relative strength of event-to-event handoffs. This TVF is deprecated for Azure Synapse portability; prefer dbo.sp_AdjacencyMatrix for the supported stored-procedure path.","

    SELECT * FROM dbo.AdjacencyMatrix('poker', 1, NULL);
SELECT * FROM  [dbo].[AdjacencyMatrix]('restaurantguest',1,NULL)

"
SQL_STORED_PROCEDURE,[dbo].[BayesianProbability2],"Stored procedure, , [dbo].[BayesianProbability2]: Computes Bayesian-style conditional probabilities between two event sequences over a specified time window, using the selected event stream to determine how often sequence A occurs, how often sequence B occurs, how often both occur in the same grouped unit, and the resulting conditional and marginal probabilities.","Use when you want to measure how strongly one sequence is associated with another within the same case or time bucket. Helpful for questions such as 'given sequence A, how likely is sequence B,' especially in exploratory process analysis, branch co-occurrence analysis, or hypothesis testing across filtered populations.","

    -- Fold probability after GameState-1 events in any case, over the full date range.
    EXEC dbo.BayesianProbability2
        @SeqA = 'GameState-1',
        @SeqB = 'folds',
        @EventSet = NULL,
        @StartDateTime = '19000101',
        @EndDateTime   = '20501231',
        @transforms    = NULL,
        @CaseFilterProperties  = NULL,
        @EventFilterProperties = NULL,
        @GroupType     = NULL,
        @SessionID     = NULL;

    -- Probability of “Holter Pos” given “TIA” across all available events.
    EXEC dbo.BayesianProbability2
        @SeqA = 'TIA',
        @SeqB = 'Holter Pos',
        @EventSet = NULL,
        @StartDateTime = NULL,
        @EndDateTime   = NULL,
        @transforms    = NULL,
        @CaseFilterProperties  = NULL,
        @EventFilterProperties = NULL,
        @GroupType     = NULL,
        @SessionID     = NULL;

    -- Probability of “Holter Pos” given “TIA” restricted to the cardiology event set.
    EXEC dbo.BayesianProbability2
        @SeqA = 'TIA',
        @SeqB = 'Holter Pos',
        @EventSet = 'cardiology',
        @StartDateTime = NULL,
        @EndDateTime   = NULL,
        @transforms    = NULL,
        @CaseFilterProperties  = NULL,
        @EventFilterProperties = NULL,
        @GroupType     = NULL,
        @SessionID     = NULL;

Notes:
    • Sequence matching is order-sensitive. The events in SeqA and SeqB must occur in the exact specified order within the grouped unit.
    • GroupType controls whether co-occurrence is evaluated by case, day, month, or year.
    • If @SessionID is supplied, the result remains in WORK.BayesianProbability for downstream processing; otherwise the procedure displays and then deletes the row.
    • The current code constructs @EventSet from SeqA and SeqB when it is NULL; an in-code note suggests the standalone @EventSet parameter may no longer be necessary.

"
SQL_TABLE_VALUED_FUNCTION,[dbo].[BayesianProbability],"Table-valued function, [dbo].[BayesianProbability]: Calculates the joint and conditional probabilities of two event sequences occurring within the same case over a specified time range, returning counts and P(B|A), P(A|B), P(A), P(B).","Use when you want to measure how often one event sequence co-occurs with another within the same case or time bucket. Helpful for questions like 'given A, how likely is B,' especially in exploratory process intelligence or causal-hypothesis work.","

The Probability of B given A.
Given 'arrive,greeted', what is the probability of 'intro,order'?

SELECT * FROM dbo.BayesianProbability('arrive,greeted','intro,order','restaurantguest','01/01/1900','12/31/2050',NULL,NULL,NULL,NULL)
SELECT * FROM dbo.BayesianProbability('arrive,greeted','bigtip','restaurantguest','01/01/1900','12/31/2050',NULL,NULL,NULL,NULL)
SELECT * FROM dbo.BayesianProbability('arrive,greeted,seated','intro,drinks','restaurantguest','01/01/1900','12/31/2050',NULL,NULL,NULL,NULL)
SELECT * FROM dbo.BayesianProbability('arrive,greeted,seated','intro,drinks',NULL,'01/01/1900','12/31/2050',NULL,NULL,NULL,NULL)
SELECT * FROM dbo.BayesianProbability('GameState-1','folds',NULL,'01/01/1900','12/31/2050',NULL,NULL,NULL,NULL)


"
SQL_STORED_PROCEDURE,[dbo].[CalculateBayesianForModels],"Stored procedure, , [dbo].[CalculateBayesianForModels]: For a given ModelID, derives Bayesian-style co-occurrence probabilities between case characteristics associated with that model, including both anomaly-derived event sequences and case-property attributes, then inserts or updates the results in dbo.BayesianProbabilities.","Use when you want to compute pairwise conditional probabilities across the characteristic signals associated with a model population. Helpful for discovering which anomaly sequences and case properties tend to co-occur within the same cases, and for persisting those relationships as reusable Bayesian probabilities tied to a specific model.","

    -- Compute and persist Bayesian relationships for all characteristics associated with model 1.
    EXEC dbo.CalculateBayesianForModels
        @ModelID = 1;

    -- Recompute and upsert Bayesian relationships for another stored model.
    EXEC dbo.CalculateBayesianForModels
        @ModelID = 2;

Notes:
    • The procedure uses dbo.CaseCharacteristics(@ModelID) as its source population, so the quality and scope of the result depend on how that function represents anomaly-derived sequences and case properties for the model.
    • Case properties are represented using the property name as the EventSequence when Category = 'CaseProperty'.
    • Non-property characteristics are represented as two-step sequences in the form EventA + ',' + EventB.
    • Only pairwise combinations with a nonzero intersection are emitted in the final probability output and persisted to dbo.BayesianProbabilities.
    • New sequences discovered in the pairwise comparison set are inserted into dbo.EventSets as IsSequence = 1, with IsCaseProperty set according to whether the source characteristic came from a case property.
    • The procedure uses GroupType = 'ModelProp' for all persisted rows, indicating that the grouping context is the model-level characteristic space rather than a time bucket or raw case stream.

"
SQL_TABLE_VALUED_FUNCTION,[dbo].[CaseCharacteristics],"Table-valued function, [dbo].[CaseCharacteristics]: Retrieves both anomaly-derived event-pair metrics and case-level properties for a given model, consolidating them into a single result set for downstream association analysis.","Use when you want one result set that mixes model-derived anomaly signals with case properties for the same population of cases. Helpful for downstream association analysis, clustering, or finding which case attributes travel with anomalous behavior.","

    SELECT * FROM dbo.CaseCharacteristics(1);
	SELECT * FROM dbo.CaseCharacteristics(2);

"
SQL_TABLE_VALUED_FUNCTION,[dbo].[CasesWithProperties],"Table-valued function, [dbo].[CasesWithProperties]: Returns case rows enriched with up to five selected case‐level properties (both numeric and alpha), along with CaseType and SourceID.","Use when you need to turn case-level properties from row form into a simple wide result per case. This is helpful for exploratory analysis, debugging property population, quick reporting, export to BI tools, or joining a few important case attributes into other SQL queries without repeatedly writing separate joins to dbo.CasePropertiesParsed.","

SELECT * FROM [dbo].[CasesWithProperties]('EmployeeID,CustomerID,OrderID')
SELECT * FROM [dbo].[CasesWithProperties]('Players,seats, button')

"
SQL_TABLE_VALUED_FUNCTION,[dbo].[ConditionalProbabilityTable],"Table-valued function, [dbo].[ConditionalProbabilityTable]: For each case or time-group (CASEID/DAY/MONTH/YEAR), counts occurrences of two event sequences A and B so you can compute conditional probabilities across cases.","Use when you want grouped counts of sequence A and sequence B by case, day, month, or year so you can compute conditional probabilities or compare how the relationship changes over time.",
SQL_STORED_PROCEDURE,[dbo].[CreateUpdateBayesianProbabilities],"Stored procedure, , [dbo].[CreateUpdateBayesianProbabilities]: Creates or refreshes Bayesian probability records by finding or inserting the appropriate model, invoking BayesianProbability2 to compute joint and conditional counts and probabilities for two sequences, and upserting the results into the BayesianProbabilities table.","Use when you want to build or refresh stored Bayesian probability results rather than calculating them ad hoc every time. Helpful for caching, scheduled refresh, and downstream reporting.","

	EXEC dbo.CreateUpdateBayesianProbabilities
		@SeqA = 'arrive,greeted',
		@SeqB = 'intro,order',
		@EventSet = 'restaurantguest',
		@StartDateTime = '19000101',
		@EndDateTime = '20501231',
		@transforms = NULL,
		@CaseFilterProperties = NULL,
		@EventFilterProperties = NULL,
		@GroupType = 'CASEID';

    -- Cardiology example for TIA → Holter Pos:
    EXEC dbo.CreateUpdateBayesianProbabilities
        @SeqA = 'TIA',
        @SeqB = 'Holter Pos',
        @EventSet = 'cardiology',
        @StartDateTime = NULL,
        @EndDateTime = NULL,
        @transforms = NULL,
        @CaseFilterProperties = NULL,
        @EventFilterProperties = NULL,
        @GroupType = NULL;

"
SQL_STORED_PROCEDURE,[dbo].[CreateUpdateMarkovProcess],"Stored procedure, , [dbo].[CreateUpdateMarkovProcess]: [
    ""Creates or refreshes a Markov process model for a given event set."",
    ""Calls InsertModel to upsert Models, clears ModelEvents, invokes MarkovProcess2 to compute transition metrics into a temp table, populates ModelEvents, updates Models.DistinctCases, and—if requested—inserts detailed sequences into ModelSequences."",
    ""Returns the final ModelID as a single-row result for downstream callers (e.g., pyodbc).""
  ]","Use when you want to create or refresh a stored Markov process model from current event data, especially for repeatable analysis and cacheable model generation.","

    EXEC dbo.CreateUpdateMarkovProcess
       @ModelID = NULL OUTPUT,
       @EventSet = 'restaurantguest',
       @enumerate_multiple_events = 0,
       @StartDateTime = '19000101',
       @EndDateTime = '20501231',
       @transforms = NULL,
       @ByCase = 1,
       @metric = NULL,
       @CaseFilterProperties = NULL,
       @EventFilterProperties = NULL,
       @InsertSequences = 1;

"
SQL_INLINE_TABLE_VALUED_FUNCTION,[dbo].[DecodeAccessBitmap],"Table-valued function, [dbo].[DecodeAccessBitmap]: Takes a BIGINT bitmask and returns each AccessID with its description and whether that bit is set (granted).","Use when you need to translate an access bitmap into a more readable form for debugging, auditing, administration, or user-explainer output.","

    SELECT * FROM dbo.DecodeAccessBitmap(6);

"
SQL_STORED_PROCEDURE,[dbo].[DefaultModelParameters],"Stored procedure, , [dbo].[DefaultModelParameters]: Initializes or returns default model parameters (date range, event enumeration, metric, and ordering) via OUTPUT parameters.",Use when you want to populate or maintain the system’s default modeling parameters so downstream procedures behave consistently when callers omit optional settings.,"
    DECLARE 
      @Start DATETIME, 
      @End DATETIME, 
      @Ord INT, 
      @Enum INT, 
      @Met NVARCHAR(20);
    EXEC dbo.DefaultModelParameters 
      @StartDateTime=@Start OUTPUT,
      @EndDateTime=@End OUTPUT,
      @Order=@Ord OUTPUT,
      @enumerate_multiple_events=@Enum OUTPUT,
      @metric=@Met OUTPUT;
    SELECT @Start, @End, @Ord, @Enum, @Met;

"
SQL_STORED_PROCEDURE,[dbo].[DeleteCase],"Stored procedure, , [dbo].[DeleteCase]: [
    ""Deletes all data associated with a given CaseID, including event facts, parsed and raw properties, case properties, and the case record itself.""
  ]",Use when you need to remove a case and its related dependent data in a controlled way rather than manually deleting from multiple tables.,"

    EXEC dbo.DeleteCase @CaseID = xxxx;

"
SQL_STORED_PROCEDURE,[dbo].[DeleteEventBatch],"Stored procedure, , [dbo].[DeleteEventBatch]: [
    ""Deletes all events and related properties for the given BatchID, including fact rows, raw and parsed event properties, and any cases affected by those events (case records and their properties)."",
    ""Should log success or failure to ProcErrorLog with BatchID context.""
  ]","Use when backing out an imported batch of events and related parsed rows, cases, and properties, especially during ETL correction, reload, or bad-batch cleanup.","

    EXEC dbo.DeleteEventBatch @BatchID = 987654321;

"
SQL_STORED_PROCEDURE,[dbo].[DeleteModel],"Stored procedure, , [dbo].[DeleteModel]: Deletes a Markov model and all its associated data (stationary distribution, properties, events, sequences, similarity links) and logs the deletion event.","Use when you want to remove a model and all of its dependent stored artifacts cleanly, especially during model regeneration, cleanup, or administrative maintenance.","

EXEC dbo.DeleteModel @ModelID = 42;

"
SQL_TABLE_VALUED_FUNCTION,[dbo].[DrillThroughToModelEvents],"Table-valued function, [dbo].[DrillThroughToModelEvents]: Retrieves all events (with ordering, occurrence counts, and metric values) that constitute the specified Markov model by its ModelID, leveraging the parameters stored for that model.","Use when you want to see the actual event rows behind a stored model, including order and metric values, instead of only the summarized model segments. Helpful for validation, walkthroughs, and explaining a model to others.","
    SELECT * FROM dbo.DrillThroughToModelEvents(24);

"
SQL_INLINE_TABLE_VALUED_FUNCTION,[dbo].[EntryAndExitPoints],"Table-valued function, [dbo].[EntryAndExitPoints]: Identifies the entry and exit handoff points for a given event set by comparing each event in a case to its predecessor and successor, counting how often an event enters or exits the defined process.","Use when you want to find where a defined process tends to begin and end relative to surrounding events. Helpful for boundary discovery, handoff analysis, and understanding how a process connects to upstream and downstream workflows.","
    SELECT * 
      FROM dbo.EntryAndExitPoints('kitchenorder', 0, '2024-01-01', '2025-01-01', NULL, 1, NULL, NULL, NULL);

Note that this sproc looks at the events of the restaurantguest (dining area) and the kitchenorder event set to be under
a single case. The two event sets split the events of a case into two groups.

"
SQL_INLINE_TABLE_VALUED_FUNCTION,[dbo].[EventPropertiesSource],"Table-valued function, [dbo].[EventPropertiesSource]: Retrieves all metadata about properties associated with a specific event, including property values, source table/column context, case natural key, and associated date column information.","Use when you need to understand which source columns or source systems contribute particular event properties, especially for lineage, mapping, and semantic cleanup.","

  SELECT *
    FROM dbo.EventPropertiesSource(435820);

"
SQL_INLINE_TABLE_VALUED_FUNCTION,[dbo].[EventSegments],"Table-valued function, [dbo].[EventSegments]: Finds the starting positions (CaseOrdinal indices) in each case where a given sequence of events (EventSegment) occurs within the allowed EventSet and date range.","Use when you want to locate where an exact event segment begins inside cases, based on raw event order within a date range and event set. Helpful for finding repeated sub-processes, validating whether a known pattern occurs in cases, or using segment start positions as input to deeper drillthrough or sequence analysis.","

SELECT * FROM [dbo].EventSegments('greeted,seated,intro','restaurantguest',NULL,NULL)


"
SQL_SCALAR_FUNCTION,[dbo].[EventSetByCode],"Scalar function, [dbo].[EventSetByCode]: Given an EventSetCode and a flag indicating set versus sequence, looks up and returns the corresponding EventSet definition as a comma-separated list of events from dbo.EventSets.","Use when callers may provide a short event-set code instead of a literal event list and you want to resolve it into the actual comma-separated definition before filtering, model building, or event-set parsing.","

    SELECT dbo.EventSetByCode('restaurantguest', 1);  -- returns sequence if defined
    SELECT dbo.EventSetByCode('restaurantguest', 0);  -- returns set if defined

"
SQL_INLINE_TABLE_VALUED_FUNCTION,[dbo].[EventSetInclusion],"Table-valued function, [dbo].[EventSetInclusion]: Determines which defined event sets include all of the events from the provided EventSet expression, returning metadata about each matching set. Rewritten as an inline table-valued function for better Azure Synapse compatibility.","Use when you have a candidate event set and want to know which named event sets already contain those events. Helpful for reuse discovery, taxonomy cleanup, and mapping a new process fragment to existing definitions.","

    SELECT *
    FROM dbo.EventSetInclusion('served,order');

"
SQL_SCALAR_FUNCTION,[dbo].[EventSetKey],"Scalar function, [dbo].[EventSetKey]: Generates a 16-byte binary key for a comma-separated list of events, treating the list either as a set (order-agnostic) or as a sequence (order-sensitive). Uses MD5 hashing of the normalized event list plus a single-character sequence flag.","Use when you need a stable hash key for an event set or sequence so that equivalent definitions can be matched, stored, reused, or looked up consistently across models, metadata, and caching logic.","

    -- Same key for set {b,c,d}, regardless of input order:
    SELECT dbo.EventSetKey('b,c,d', NULL);
    SELECT dbo.EventSetKey('c,b,d', 0);
    SELECT dbo.EventSetKey('d,b,c', 0);

    -- Different key when treated as a sequence:
    SELECT dbo.EventSetKey('d,b,c', 1);

"
SQL_STORED_PROCEDURE,[dbo].[Generate_LLM_Description_Prompts],"Stored procedure, , [dbo].[Generate_LLM_Description_Prompts]: Builds a set of natural-language prompts for various metadata objects (EventSets, Transforms, Metrics, Sources, Models, CaseTypes) to feed into an LLM for generating vector embeddings or descriptions.","Use when you want to generate prompt text for metadata objects so they can be described, embedded, or indexed for semantic search and LLM-assisted navigation.","

    EXEC dbo.Generate_LLM_Description_Prompts;            -- Generate prompts for all metadata tables
    EXEC dbo.Generate_LLM_Description_Prompts @Table='Models';  -- Only for Models table

"
SQL_SCALAR_FUNCTION,[dbo].[GetMetadataJsonValueFromDefinition],"Scalar function, [dbo].[GetMetadataJsonValueFromDefinition]: Extracts the Metadata JSON block from a module definition comment and returns the value of a specified top-level JSON key.","Use when querying sys.sql_modules and you want to pull a single metadata field such as Description, Utilization, or Author from the Metadata JSON block without manually parsing the comment text.",
SQL_SCALAR_FUNCTION,[dbo].[GetModelEventString],"Scalar function, [dbo].[GetModelEventString]: Aggregates all transition pairs (EventA → EventB) and their probabilities for a given model into a single delimited string.","Use when you need a compact human-readable summary of a model’s event path or transitions for display, prompts, reporting, or quick inspection.","

    SELECT dbo.GetModelEventString(1);

"
