CaseProperties,CaseSet,CaseID,CaseType,CaseTypeIRI,EventID,EventDescription,EventIRI,Event,PropertyName,EventDate,PropertyValueAlpha,PropertyValueNumeric,SourceServer,SourceServerDescription,SourceTableName,SourceColumn,SourceColumnIsKey,SourceColumnDescription
"{""LocationID"":1,""EmployeeID"":1}",1,2,"Restaurant meal service process: Captures the full customer journey in a typical sit-down restaurant, including ordering, seating, food preparation, service interactions, payments, complaints, and tipping events.",,18,Player checks,,check,coupon,45:00.0,GrandOpening,,,,,,,
"{""LocationID"":1,""EmployeeID"":1}",1,14,"Daily commute to work: Tracks individual or aggregated commuting patterns, routes, times, modes of transportation, and related events from home to workplace and return.",,97,User arrives at work,,arrivework,Fuel,22:00.0,,30,,"Consolidated Event Hub aggregating real-world operational events across multiple business domains (restaurant table service, delivery/pickup routes, daily commuting patterns, and e-commerce transactions). Captures customer interactions, employee actions, location data, payments, complaints, and process flags in a unified event stream for cross-domain analytics and process optimization.",,Fuel,0,"Fuel consumed during the truck route, measured in gallons."
"{""LocationID"":1,""EmployeeID"":1}",1,25,"Daily commute to work: Tracks individual or aggregated commuting patterns, routes, times, modes of transportation, and related events from home to workplace and return.",,130,User arrives at work,,arrivework,Fuel,05:00.0,,30,,"Consolidated Event Hub aggregating real-world operational events across multiple business domains (restaurant table service, delivery/pickup routes, daily commuting patterns, and e-commerce transactions). Captures customer interactions, employee actions, location data, payments, complaints, and process flags in a unified event stream for cross-domain analytics and process optimization.",,Fuel,0,"Fuel consumed during the truck route, measured in gallons."
"{""LocationID"":1,""EmployeeID"":1}",1,25,"Daily commute to work: Tracks individual or aggregated commuting patterns, routes, times, modes of transportation, and related events from home to workplace and return.",,129,Moderate traffic conditions,,moderatetraffic,Fuel,30:00.0,,34,,"Consolidated Event Hub aggregating real-world operational events across multiple business domains (restaurant table service, delivery/pickup routes, daily commuting patterns, and e-commerce transactions). Captures customer interactions, employee actions, location data, payments, complaints, and process flags in a unified event stream for cross-domain analytics and process optimization.",,Fuel,0,"Fuel consumed during the truck route, measured in gallons."
"{""LocationID"":1,""EmployeeID"":1}",1,25,"Daily commute to work: Tracks individual or aggregated commuting patterns, routes, times, modes of transportation, and related events from home to workplace and return.",,128,User leaves home,,leavehome,Fuel,20:00.0,,35,,"Consolidated Event Hub aggregating real-world operational events across multiple business domains (restaurant table service, delivery/pickup routes, daily commuting patterns, and e-commerce transactions). Captures customer interactions, employee actions, location data, payments, complaints, and process flags in a unified event stream for cross-domain analytics and process optimization.",,Fuel,0,"Fuel consumed during the truck route, measured in gallons."
"{""LocationID"":1,""EmployeeID"":1}",1,16,"Daily commute to work: Tracks individual or aggregated commuting patterns, routes, times, modes of transportation, and related events from home to workplace and return.",,103,User arrives at work,,arrivework,Fuel,16:00.0,,36,,"Consolidated Event Hub aggregating real-world operational events across multiple business domains (restaurant table service, delivery/pickup routes, daily commuting patterns, and e-commerce transactions). Captures customer interactions, employee actions, location data, payments, complaints, and process flags in a unified event stream for cross-domain analytics and process optimization.",,Fuel,0,"Fuel consumed during the truck route, measured in gallons."
"{""LocationID"":1,""EmployeeID"":1}",1,14,"Daily commute to work: Tracks individual or aggregated commuting patterns, routes, times, modes of transportation, and related events from home to workplace and return.",,96,Heavy traffic conditions,,heavytraffic,Fuel,30:00.0,,41,,"Consolidated Event Hub aggregating real-world operational events across multiple business domains (restaurant table service, delivery/pickup routes, daily commuting patterns, and e-commerce transactions). Captures customer interactions, employee actions, location data, payments, complaints, and process flags in a unified event stream for cross-domain analytics and process optimization.",,Fuel,0,"Fuel consumed during the truck route, measured in gallons."
"{""LocationID"":1,""EmployeeID"":1}",1,14,"Daily commute to work: Tracks individual or aggregated commuting patterns, routes, times, modes of transportation, and related events from home to workplace and return.",,95,User leaves home,,leavehome,Fuel,20:00.0,,42,,"Consolidated Event Hub aggregating real-world operational events across multiple business domains (restaurant table service, delivery/pickup routes, daily commuting patterns, and e-commerce transactions). Captures customer interactions, employee actions, location data, payments, complaints, and process flags in a unified event stream for cross-domain analytics and process optimization.",,Fuel,0,"Fuel consumed during the truck route, measured in gallons."
"{""LocationID"":1,""EmployeeID"":1}",1,11,"Daily commute to work: Tracks individual or aggregated commuting patterns, routes, times, modes of transportation, and related events from home to workplace and return.",,88,User arrives at work,,arrivework,Fuel,15:00.0,,43,,"Consolidated Event Hub aggregating real-world operational events across multiple business domains (restaurant table service, delivery/pickup routes, daily commuting patterns, and e-commerce transactions). Captures customer interactions, employee actions, location data, payments, complaints, and process flags in a unified event stream for cross-domain analytics and process optimization.",,Fuel,0,"Fuel consumed during the truck route, measured in gallons."
"{""LocationID"":1,""EmployeeID"":1}",1,12,"Daily commute to work: Tracks individual or aggregated commuting patterns, routes, times, modes of transportation, and related events from home to workplace and return.",,91,User arrives at work,,arrivework,Fuel,20:00.0,,46,,"Consolidated Event Hub aggregating real-world operational events across multiple business domains (restaurant table service, delivery/pickup routes, daily commuting patterns, and e-commerce transactions). Captures customer interactions, employee actions, location data, payments, complaints, and process flags in a unified event stream for cross-domain analytics and process optimization.",,Fuel,0,"Fuel consumed during the truck route, measured in gallons."
"{""LocationID"":1,""EmployeeID"":1}",1,16,"Daily commute to work: Tracks individual or aggregated commuting patterns, routes, times, modes of transportation, and related events from home to workplace and return.",,102,Heavy traffic conditions,,heavytraffic,Fuel,30:00.0,,47,,"Consolidated Event Hub aggregating real-world operational events across multiple business domains (restaurant table service, delivery/pickup routes, daily commuting patterns, and e-commerce transactions). Captures customer interactions, employee actions, location data, payments, complaints, and process flags in a unified event stream for cross-domain analytics and process optimization.",,Fuel,0,"Fuel consumed during the truck route, measured in gallons."
"{""LocationID"":1,""EmployeeID"":1}",1,16,"Daily commute to work: Tracks individual or aggregated commuting patterns, routes, times, modes of transportation, and related events from home to workplace and return.",,101,User leaves home,,leavehome,Fuel,20:00.0,,48,,"Consolidated Event Hub aggregating real-world operational events across multiple business domains (restaurant table service, delivery/pickup routes, daily commuting patterns, and e-commerce transactions). Captures customer interactions, employee actions, location data, payments, complaints, and process flags in a unified event stream for cross-domain analytics and process optimization.",,Fuel,0,"Fuel consumed during the truck route, measured in gallons."
"{""LocationID"":1,""EmployeeID"":1}",1,15,"Daily commute to work: Tracks individual or aggregated commuting patterns, routes, times, modes of transportation, and related events from home to workplace and return.",,100,User arrives at work,,arrivework,Fuel,57:00.0,,52,,"Consolidated Event Hub aggregating real-world operational events across multiple business domains (restaurant table service, delivery/pickup routes, daily commuting patterns, and e-commerce transactions). Captures customer interactions, employee actions, location data, payments, complaints, and process flags in a unified event stream for cross-domain analytics and process optimization.",,Fuel,0,"Fuel consumed during the truck route, measured in gallons."
"{""LocationID"":1,""EmployeeID"":1}",1,11,"Daily commute to work: Tracks individual or aggregated commuting patterns, routes, times, modes of transportation, and related events from home to workplace and return.",,87,Heavy traffic conditions,,heavytraffic,Fuel,30:00.0,,52,,"Consolidated Event Hub aggregating real-world operational events across multiple business domains (restaurant table service, delivery/pickup routes, daily commuting patterns, and e-commerce transactions). Captures customer interactions, employee actions, location data, payments, complaints, and process flags in a unified event stream for cross-domain analytics and process optimization.",,Fuel,0,"Fuel consumed during the truck route, measured in gallons."
"{""LocationID"":1,""EmployeeID"":1}",1,21,"Daily commute to work: Tracks individual or aggregated commuting patterns, routes, times, modes of transportation, and related events from home to workplace and return.",,117,Heavy traffic conditions,,heavytraffic,Fuel,35:00.0,,52,,"Consolidated Event Hub aggregating real-world operational events across multiple business domains (restaurant table service, delivery/pickup routes, daily commuting patterns, and e-commerce transactions). Captures customer interactions, employee actions, location data, payments, complaints, and process flags in a unified event stream for cross-domain analytics and process optimization.",,Fuel,0,"Fuel consumed during the truck route, measured in gallons."
"{""LocationID"":1,""EmployeeID"":1}",1,11,"Daily commute to work: Tracks individual or aggregated commuting patterns, routes, times, modes of transportation, and related events from home to workplace and return.",,86,User leaves home,,leavehome,Fuel,20:00.0,,53,,"Consolidated Event Hub aggregating real-world operational events across multiple business domains (restaurant table service, delivery/pickup routes, daily commuting patterns, and e-commerce transactions). Captures customer interactions, employee actions, location data, payments, complaints, and process flags in a unified event stream for cross-domain analytics and process optimization.",,Fuel,0,"Fuel consumed during the truck route, measured in gallons."
"{""LocationID"":1,""EmployeeID"":1}",1,21,"Daily commute to work: Tracks individual or aggregated commuting patterns, routes, times, modes of transportation, and related events from home to workplace and return.",,116,User leaves home,,leavehome,Fuel,20:00.0,,53,,"Consolidated Event Hub aggregating real-world operational events across multiple business domains (restaurant table service, delivery/pickup routes, daily commuting patterns, and e-commerce transactions). Captures customer interactions, employee actions, location data, payments, complaints, and process flags in a unified event stream for cross-domain analytics and process optimization.",,Fuel,0,"Fuel consumed during the truck route, measured in gallons."
"{""LocationID"":1,""EmployeeID"":1}",1,15,"Daily commute to work: Tracks individual or aggregated commuting patterns, routes, times, modes of transportation, and related events from home to workplace and return.",,99,Light traffic conditions,,lighttraffic,Fuel,30:00.0,,54.5,,"Consolidated Event Hub aggregating real-world operational events across multiple business domains (restaurant table service, delivery/pickup routes, daily commuting patterns, and e-commerce transactions). Captures customer interactions, employee actions, location data, payments, complaints, and process flags in a unified event stream for cross-domain analytics and process optimization.",,Fuel,0,"Fuel consumed during the truck route, measured in gallons."
"{""LocationID"":1,""EmployeeID"":1}",1,13,"Daily commute to work: Tracks individual or aggregated commuting patterns, routes, times, modes of transportation, and related events from home to workplace and return.",,94,User arrives at work,,arrivework,Fuel,55:00.0,,55,,"Consolidated Event Hub aggregating real-world operational events across multiple business domains (restaurant table service, delivery/pickup routes, daily commuting patterns, and e-commerce transactions). Captures customer interactions, employee actions, location data, payments, complaints, and process flags in a unified event stream for cross-domain analytics and process optimization.",,Fuel,0,"Fuel consumed during the truck route, measured in gallons."
"{""LocationID"":1,""EmployeeID"":1}",1,12,"Daily commute to work: Tracks individual or aggregated commuting patterns, routes, times, modes of transportation, and related events from home to workplace and return.",,90,Heavy traffic conditions,,heavytraffic,Fuel,33:00.0,,55,,"Consolidated Event Hub aggregating real-world operational events across multiple business domains (restaurant table service, delivery/pickup routes, daily commuting patterns, and e-commerce transactions). Captures customer interactions, employee actions, location data, payments, complaints, and process flags in a unified event stream for cross-domain analytics and process optimization.",,Fuel,0,"Fuel consumed during the truck route, measured in gallons."
"{""LocationID"":1,""EmployeeID"":1}",1,15,"Daily commute to work: Tracks individual or aggregated commuting patterns, routes, times, modes of transportation, and related events from home to workplace and return.",,98,User leaves home,,leavehome,Fuel,20:00.0,,55,,"Consolidated Event Hub aggregating real-world operational events across multiple business domains (restaurant table service, delivery/pickup routes, daily commuting patterns, and e-commerce transactions). Captures customer interactions, employee actions, location data, payments, complaints, and process flags in a unified event stream for cross-domain analytics and process optimization.",,Fuel,0,"Fuel consumed during the truck route, measured in gallons."
"{""LocationID"":1,""EmployeeID"":1}",1,12,"Daily commute to work: Tracks individual or aggregated commuting patterns, routes, times, modes of transportation, and related events from home to workplace and return.",,89,User leaves home,,leavehome,Fuel,20:00.0,,56,,"Consolidated Event Hub aggregating real-world operational events across multiple business domains (restaurant table service, delivery/pickup routes, daily commuting patterns, and e-commerce transactions). Captures customer interactions, employee actions, location data, payments, complaints, and process flags in a unified event stream for cross-domain analytics and process optimization.",,Fuel,0,"Fuel consumed during the truck route, measured in gallons."
"{""LocationID"":1,""EmployeeID"":1}",1,13,"Daily commute to work: Tracks individual or aggregated commuting patterns, routes, times, modes of transportation, and related events from home to workplace and return.",,93,Light traffic conditions,,lighttraffic,Fuel,29:00.0,,57,,"Consolidated Event Hub aggregating real-world operational events across multiple business domains (restaurant table service, delivery/pickup routes, daily commuting patterns, and e-commerce transactions). Captures customer interactions, employee actions, location data, payments, complaints, and process flags in a unified event stream for cross-domain analytics and process optimization.",,Fuel,0,"Fuel consumed during the truck route, measured in gallons."
"{""LocationID"":1,""EmployeeID"":1}",1,13,"Daily commute to work: Tracks individual or aggregated commuting patterns, routes, times, modes of transportation, and related events from home to workplace and return.",,92,User leaves home,,leavehome,Fuel,20:00.0,,59,,"Consolidated Event Hub aggregating real-world operational events across multiple business domains (restaurant table service, delivery/pickup routes, daily commuting patterns, and e-commerce transactions). Captures customer interactions, employee actions, location data, payments, complaints, and process flags in a unified event stream for cross-domain analytics and process optimization.",,Fuel,0,"Fuel consumed during the truck route, measured in gallons."
"{""LocationID"":1,""EmployeeID"":1}",1,11,"Daily commute to work: Tracks individual or aggregated commuting patterns, routes, times, modes of transportation, and related events from home to workplace and return.",,86,User leaves home,,leavehome,point,20:00.0,"{""lat"":-116.2022, ""lon"":43.6150}",,,,,,,
"{""LocationID"":1,""EmployeeID"":1}",1,1,"Restaurant meal service process: Captures the full customer journey in a typical sit-down restaurant, including ordering, seating, food preparation, service interactions, payments, complaints, and tipping events.",,85,User gives a big tip,,bigtip,tip,00:01.0,,70,,,,,,
"{""LocationID"":1,""EmployeeID"":4}",2,28,"Delivery or pickup vehicle route tracking: Represents logistics and transportation events for package delivery, garbage collection, or similar pickup/delivery operations along defined routes.",,138,Walmart event 1,,walmart1,Fuel,12:00.0,,138,,"Consolidated Event Hub aggregating real-world operational events across multiple business domains (restaurant table service, delivery/pickup routes, daily commuting patterns, and e-commerce transactions). Captures customer interactions, employee actions, location data, payments, complaints, and process flags in a unified event stream for cross-domain analytics and process optimization.",,Fuel,0,"Fuel consumed during the truck route, measured in gallons."
"{""LocationID"":1,""EmployeeID"":4}",2,28,"Delivery or pickup vehicle route tracking: Represents logistics and transportation events for package delivery, garbage collection, or similar pickup/delivery operations along defined routes.",,140,Walmart event 2,,walmart2,Fuel,46:00.0,,140,,"Consolidated Event Hub aggregating real-world operational events across multiple business domains (restaurant table service, delivery/pickup routes, daily commuting patterns, and e-commerce transactions). Captures customer interactions, employee actions, location data, payments, complaints, and process flags in a unified event stream for cross-domain analytics and process optimization.",,Fuel,0,"Fuel consumed during the truck route, measured in gallons."
"{""LocationID"":1,""EmployeeID"":4}",2,28,"Delivery or pickup vehicle route tracking: Represents logistics and transportation events for package delivery, garbage collection, or similar pickup/delivery operations along defined routes.",,143,CVS drug store event 1,,csv1,Fuel,12:00.0,,143,,"Consolidated Event Hub aggregating real-world operational events across multiple business domains (restaurant table service, delivery/pickup routes, daily commuting patterns, and e-commerce transactions). Captures customer interactions, employee actions, location data, payments, complaints, and process flags in a unified event stream for cross-domain analytics and process optimization.",,Fuel,0,"Fuel consumed during the truck route, measured in gallons."
"{""LocationID"":1,""EmployeeID"":4}",2,28,"Delivery or pickup vehicle route tracking: Represents logistics and transportation events for package delivery, garbage collection, or similar pickup/delivery operations along defined routes.",,145,Walmart event 3,,walmart3,Fuel,45:00.0,,145,,"Consolidated Event Hub aggregating real-world operational events across multiple business domains (restaurant table service, delivery/pickup routes, daily commuting patterns, and e-commerce transactions). Captures customer interactions, employee actions, location data, payments, complaints, and process flags in a unified event stream for cross-domain analytics and process optimization.",,Fuel,0,"Fuel consumed during the truck route, measured in gallons."
"{""LocationID"":1,""EmployeeID"":4}",2,28,"Delivery or pickup vehicle route tracking: Represents logistics and transportation events for package delivery, garbage collection, or similar pickup/delivery operations along defined routes.",,147,Home Depot event 1,,homedepot1,Fuel,15:00.0,,147,,"Consolidated Event Hub aggregating real-world operational events across multiple business domains (restaurant table service, delivery/pickup routes, daily commuting patterns, and e-commerce transactions). Captures customer interactions, employee actions, location data, payments, complaints, and process flags in a unified event stream for cross-domain analytics and process optimization.",,Fuel,0,"Fuel consumed during the truck route, measured in gallons."
"{""LocationID"":1,""EmployeeID"":4}",2,28,"Delivery or pickup vehicle route tracking: Represents logistics and transportation events for package delivery, garbage collection, or similar pickup/delivery operations along defined routes.",,149,CVS drug store event 2,,csv2,Fuel,45:00.0,,149,,"Consolidated Event Hub aggregating real-world operational events across multiple business domains (restaurant table service, delivery/pickup routes, daily commuting patterns, and e-commerce transactions). Captures customer interactions, employee actions, location data, payments, complaints, and process flags in a unified event stream for cross-domain analytics and process optimization.",,Fuel,0,"Fuel consumed during the truck route, measured in gallons."
"{""LocationID"":1,""EmployeeID"":4}",2,28,"Delivery or pickup vehicle route tracking: Represents logistics and transportation events for package delivery, garbage collection, or similar pickup/delivery operations along defined routes.",,151,User returns to website,,returnsite,Fuel,15:00.0,,151,,"Consolidated Event Hub aggregating real-world operational events across multiple business domains (restaurant table service, delivery/pickup routes, daily commuting patterns, and e-commerce transactions). Captures customer interactions, employee actions, location data, payments, complaints, and process flags in a unified event stream for cross-domain analytics and process optimization.",,Fuel,0,"Fuel consumed during the truck route, measured in gallons."
"{""LocationID"":1,""EmployeeID"":4}",2,28,"Delivery or pickup vehicle route tracking: Represents logistics and transportation events for package delivery, garbage collection, or similar pickup/delivery operations along defined routes.",,140,Walmart event 2,,walmart2,point,46:00.0,"{""lat"":-116.20234, ""lon"":43.6154}",,,,,,,
"{""LocationID"":1,""EmployeeID"":4}",2,28,"Delivery or pickup vehicle route tracking: Represents logistics and transportation events for package delivery, garbage collection, or similar pickup/delivery operations along defined routes.",,138,Walmart event 1,,walmart1,Weight,12:00.0,,137,,"Consolidated Event Hub aggregating real-world operational events across multiple business domains (restaurant table service, delivery/pickup routes, daily commuting patterns, and e-commerce transactions). Captures customer interactions, employee actions, location data, payments, complaints, and process flags in a unified event stream for cross-domain analytics and process optimization.",,Weight,0,"Total weight of the truck’s cargo, measured in pounds."
"{""LocationID"":1,""EmployeeID"":4}",2,28,"Delivery or pickup vehicle route tracking: Represents logistics and transportation events for package delivery, garbage collection, or similar pickup/delivery operations along defined routes.",,140,Walmart event 2,,walmart2,Weight,46:00.0,,139,,"Consolidated Event Hub aggregating real-world operational events across multiple business domains (restaurant table service, delivery/pickup routes, daily commuting patterns, and e-commerce transactions). Captures customer interactions, employee actions, location data, payments, complaints, and process flags in a unified event stream for cross-domain analytics and process optimization.",,Weight,0,"Total weight of the truck’s cargo, measured in pounds."
"{""LocationID"":1,""EmployeeID"":4}",2,28,"Delivery or pickup vehicle route tracking: Represents logistics and transportation events for package delivery, garbage collection, or similar pickup/delivery operations along defined routes.",,143,CVS drug store event 1,,csv1,Weight,12:00.0,,142,,"Consolidated Event Hub aggregating real-world operational events across multiple business domains (restaurant table service, delivery/pickup routes, daily commuting patterns, and e-commerce transactions). Captures customer interactions, employee actions, location data, payments, complaints, and process flags in a unified event stream for cross-domain analytics and process optimization.",,Weight,0,"Total weight of the truck’s cargo, measured in pounds."
"{""LocationID"":1,""EmployeeID"":4}",2,28,"Delivery or pickup vehicle route tracking: Represents logistics and transportation events for package delivery, garbage collection, or similar pickup/delivery operations along defined routes.",,145,Walmart event 3,,walmart3,Weight,45:00.0,,144,,"Consolidated Event Hub aggregating real-world operational events across multiple business domains (restaurant table service, delivery/pickup routes, daily commuting patterns, and e-commerce transactions). Captures customer interactions, employee actions, location data, payments, complaints, and process flags in a unified event stream for cross-domain analytics and process optimization.",,Weight,0,"Total weight of the truck’s cargo, measured in pounds."
"{""LocationID"":1,""EmployeeID"":4}",2,28,"Delivery or pickup vehicle route tracking: Represents logistics and transportation events for package delivery, garbage collection, or similar pickup/delivery operations along defined routes.",,147,Home Depot event 1,,homedepot1,Weight,15:00.0,,146,,"Consolidated Event Hub aggregating real-world operational events across multiple business domains (restaurant table service, delivery/pickup routes, daily commuting patterns, and e-commerce transactions). Captures customer interactions, employee actions, location data, payments, complaints, and process flags in a unified event stream for cross-domain analytics and process optimization.",,Weight,0,"Total weight of the truck’s cargo, measured in pounds."
"{""LocationID"":1,""EmployeeID"":4}",2,28,"Delivery or pickup vehicle route tracking: Represents logistics and transportation events for package delivery, garbage collection, or similar pickup/delivery operations along defined routes.",,149,CVS drug store event 2,,csv2,Weight,45:00.0,,148,,"Consolidated Event Hub aggregating real-world operational events across multiple business domains (restaurant table service, delivery/pickup routes, daily commuting patterns, and e-commerce transactions). Captures customer interactions, employee actions, location data, payments, complaints, and process flags in a unified event stream for cross-domain analytics and process optimization.",,Weight,0,"Total weight of the truck’s cargo, measured in pounds."
"{""LocationID"":1,""EmployeeID"":4}",2,28,"Delivery or pickup vehicle route tracking: Represents logistics and transportation events for package delivery, garbage collection, or similar pickup/delivery operations along defined routes.",,151,User returns to website,,returnsite,Weight,15:00.0,,150,,"Consolidated Event Hub aggregating real-world operational events across multiple business domains (restaurant table service, delivery/pickup routes, daily commuting patterns, and e-commerce transactions). Captures customer interactions, employee actions, location data, payments, complaints, and process flags in a unified event stream for cross-domain analytics and process optimization.",,Weight,0,"Total weight of the truck’s cargo, measured in pounds."
